date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2024-01-18,37991.71000000,67.0,Greed,False,4,63,1.5292,-3.54,1.19,-2.97,4.35,26.29
2024-01-19,38257.94000000,64.0,Neutral,False,4,51,1.5839,-3.04,1.05,0.82,4.61,26.47
2024-01-20,38308.02000000,59.3,Neutral,False,4,52,1.5532,-3.05,0.43,1.59,4.11,25.52
2024-01-21,38201.42000000,70.3,Greed,False,4,56,1.5156,-3.41,0.25,1.55,3.50,26.62
2024-01-22,36381.56000000,56.3,Neutral,False,4,55,1.4365,-8.00,1.27,9.94,9.22,31.85
2024-01-23,36786.45000000,62.5,Neutral,False,4,50,1.4514,-6.88,1.32,7.75,8.84,28.87
2024-01-24,36844.02000000,62.0,Neutral,False,4,48,1.4602,-6.54,1.23,6.97,11.63,27.35
2024-01-25,36865.01000000,56.8,Neutral,False,4,52,1.4187,-6.31,0.78,7.54,14.09,29.23
2024-01-26,38570.30000000,63.5,Neutral,False,4,49,1.3992,-1.89,1.14,3.77,13.27,23.89
2024-01-27,38918.72000000,60.0,Neutral,False,4,55,1.5454,-0.90,0.27,2.48,13.58,28.98
2024-01-28,38793.92000000,67.3,Greed,False,4,54,1.5478,-1.12,0.61,1.92,14.98,35.63
2024-01-29,39997.27000000,65.0,Neutral,False,4,55,1.5595,1.98,0.88,-0.65,15.69,43.94
2024-01-30,39638.18000000,66.5,Greed,False,4,61,1.5301,1.00,0.97,1.01,17.11,41.97
2024-01-31,39413.05000000,62.5,Neutral,False,4,60,1.5346,0.38,1.49,4.35,22.69,46.10
2024-02-01,39645.97000000,67.0,Greed,False,4,63,1.5444,0.96,1.15,6.09,21.64,44.36
2024-02-02,40022.71000000,64.5,Neutral,False,4,63,1.5190,1.88,0.78,9.15,21.00,45.52
2024-02-03,39884.06000000,71.3,Greed,False,4,60,1.3884,1.45,0.25,10.83,20.30,57.55
2024-02-04,39540.15000000,71.3,Greed,False,4,60,1.4372,0.54,0.38,12.81,22.37,48.73
2024-02-05,39737.11000000,66.3,Greed,False,4,60,1.4837,0.95,0.89,16.45,21.00,52.79
2024-02-06,40039.20000000,64.8,Neutral,False,4,64,1.5024,1.67,0.62,15.94,20.81,52.76
2024-02-07,41129.17000000,66.8,Greed,False,4,62,1.4445,4.29,0.95,17.57,16.63,51.85
2024-02-08,42059.86000000,72.8,Greed,False,4,66,1.3993,6.54,0.86,14.66,12.72,48.78
2024-02-09,43686.74000000,78.0,Greed,False,4,72,1.4114,10.45,1.67,10.85,7.40,44.46
2024-02-10,44205.40000000,74.8,Greed,False,4,74,1.4345,11.52,0.84,8.54,7.77,47.77
2024-02-11,44605.89000000,74.0,Greed,False,4,71,1.3943,12.27,0.84,8.47,7.13,46.69
2024-02-12,46274.78000000,82.5,Greed,False,4,70,1.3104,16.07,1.31,3.91,8.48,44.34
2024-02-13,46421.92000000,83.3,Greed,False,4,79,1.2432,16.05,1.25,4.20,13.35,41.40
2024-02-14,48354.88000000,81.2,Greed,False,4,74,1.2069,20.29,1.37,-0.80,19.06,32.21
2024-02-15,48224.79000000,73.5,Greed,False,4,72,1.2214,19.43,1.26,-1.69,16.70,24.64
2024-02-16,48428.50000000,77.0,Greed,False,4,72,1.2079,19.35,0.87,-3.11,18.90,29.96
2024-02-17,47978.74000000,80.4,Greed,False,4,76,1.2067,17.67,0.59,-0.71,19.29,29.69
2024-02-18,48384.23000000,71.8,Greed,False,4,72,1.2029,18.08,0.49,-1.24,20.37,17.96
2024-02-19,48083.61000000,80.7,Greed,False,4,75,1.2272,16.80,0.56,4.40,30.68,29.30
2024-02-20,48372.02000000,82.5,Greed,False,4,72,1.2813,17.03,1.21,8.78,21.58,24.77
2024-02-21,47969.03000000,80.1,Greed,False,4,78,1.2728,15.67,0.85,20.02,26.57,23.22
